x y
10 897
10 894
10 899
10 913
10 938
20 19528
20 19601
20 19151
20 19324
20 18836
30 125458
30 127423
30 116743
30 132214
30 126834
40 477881
40 467063
40 487019
40 465313
40 500002
50 1467179
50 1497097
50 1467245
50 1464684
50 1543711
60 4026074
60 3676222
60 3996234
60 3771453
60 3761785
70 9115564
70 9151389
70 9581185
70 9808371
70 9073906
80 17849092
80 17147708
80 17069055
80 17463328
80 17154134
90 31299516
90 31487297
90 31477725
90 31635452
90 31460204
100 53216710
100 52091363
100 53099298
100 52568322
100 52223050
